indicador_id,nombre_indicador,grupo_indicador,ano,valor,valor_disponible
12a,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,DM2 y seguimiento,2023,S/D,False
12a,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,DM2 y seguimiento,2024,S/D,False
12a,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,DM2 y seguimiento,2025,,False
12b,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo (FO) vigente",DM2 y seguimiento,2019,0.365,True
12b,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo (FO) vigente",DM2 y seguimiento,2021,0.271,True
12b,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo (FO) vigente",DM2 y seguimiento,2022,0.360471104480327,True
12b,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo (FO) vigente",DM2 y seguimiento,2023,0.404,True
12b,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo (FO) vigente",DM2 y seguimiento,2024,0.446,True
12b,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo (FO) vigente",DM2 y seguimiento,2025,0.472,True
13,"Porcentaje de personas con diagnóstico de HTA, con evaluación de función renal",Función renal y ERC,2019,S/D,False
13,"Porcentaje de personas con diagnóstico de HTA, con evaluación de función renal",Función renal y ERC,2021,,False
13,"Porcentaje de personas con diagnóstico de HTA, con evaluación de función renal",Función renal y ERC,2022,0.475,True
13,"Porcentaje de personas con diagnóstico de HTA, con evaluación de función renal",Función renal y ERC,2023,0.551,True
13,"Porcentaje de personas con diagnóstico de HTA, con evaluación de función renal",Función renal y ERC,2024,0.59,True
13,"Porcentaje de personas con diagnóstico de HTA, con evaluación de función renal",Función renal y ERC,2025,0.628,True
14,"Porcentaje de personas con diagnóstico de DM2, con evaluación de función renal",Función renal y ERC,2019,S/D,False
14,"Porcentaje de personas con diagnóstico de DM2, con evaluación de función renal",Función renal y ERC,2021,,False
14,"Porcentaje de personas con diagnóstico de DM2, con evaluación de función renal",Función renal y ERC,2022,0.566,True
14,"Porcentaje de personas con diagnóstico de DM2, con evaluación de función renal",Función renal y ERC,2023,0.594,True
14,"Porcentaje de personas con diagnóstico de DM2, con evaluación de función renal",Función renal y ERC,2024,0.632,True
14,"Porcentaje de personas con diagnóstico de DM2, con evaluación de función renal",Función renal y ERC,2025,0.662,True
15,Porcentaje de personas con diagnóstico de DM y ERC en tratamiento de prevención secundaria de ERC,Función renal y ERC,2019,S/D,False
15,Porcentaje de personas con diagnóstico de DM y ERC en tratamiento de prevención secundaria de ERC,Función renal y ERC,2021,,False
15,Porcentaje de personas con diagnóstico de DM y ERC en tratamiento de prevención secundaria de ERC,Función renal y ERC,2022,S/D,False
15,Porcentaje de personas con diagnóstico de DM y ERC en tratamiento de prevención secundaria de ERC,Función renal y ERC,2023,S/D,False
15,Porcentaje de personas con diagnóstico de DM y ERC en tratamiento de prevención secundaria de ERC,Función renal y ERC,2024,S/D,False
15,Porcentaje de personas con diagnóstico de DM y ERC en tratamiento de prevención secundaria de ERC,Función renal y ERC,2025,0.624,True
16,"Porcentaje de personas con diagnóstico de enfermedad cardio-cerebrovascular (ECV), en tratamiento con antiagregante plaquetario",ECV y prevención secundaria,2019,0.489,True
16,"Porcentaje de personas con diagnóstico de enfermedad cardio-cerebrovascular (ECV), en tratamiento con antiagregante plaquetario",ECV y prevención secundaria,2021,,False
16,"Porcentaje de personas con diagnóstico de enfermedad cardio-cerebrovascular (ECV), en tratamiento con antiagregante plaquetario",ECV y prevención secundaria,2022,0.493,True
16,"Porcentaje de personas con diagnóstico de enfermedad cardio-cerebrovascular (ECV), en tratamiento con antiagregante plaquetario",ECV y prevención secundaria,2023,0.482,True
16,"Porcentaje de personas con diagnóstico de enfermedad cardio-cerebrovascular (ECV), en tratamiento con antiagregante plaquetario",ECV y prevención secundaria,2024,0.471,True
16,"Porcentaje de personas con diagnóstico de enfermedad cardio-cerebrovascular (ECV), en tratamiento con antiagregante plaquetario",ECV y prevención secundaria,2025,0.507,True
17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",ECV y prevención secundaria,2019,0.53,True
17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",ECV y prevención secundaria,2021,,False
17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",ECV y prevención secundaria,2022,0.659,True
17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",ECV y prevención secundaria,2023,0.579,True
17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",ECV y prevención secundaria,2024,0.586,True
17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",ECV y prevención secundaria,2025,0.61,True
18,Tasa de egresos hospitalarios por enfermedad cerebrovascular,Egresos hospitalarios,2019,S/D,False
18,Tasa de egresos hospitalarios por enfermedad cerebrovascular,Egresos hospitalarios,2021,,False
