Ano,IdServicio,servicio_salud,IdComuna,comuna,beneficiarios_fonasa_15_mas
2025,13,Servicio de Salud Metropolitano Sur,13105,El Bosque,147868
2025,13,Servicio de Salud Metropolitano Sur,13109,La Cisterna,72226
2025,13,Servicio de Salud Metropolitano Sur,13116,Lo Espejo,81218
2025,13,Servicio de Salud Metropolitano Sur,13121,Pedro Aguirre Cerda,92480
2025,13,Servicio de Salud Metropolitano Sur,13129,San Joaquín,83791
2025,13,Servicio de Salud Metropolitano Sur,13130,San Miguel,103834
2025,13,Servicio de Salud Metropolitano Sur,13401,San Bernardo,219250
2025,13,Servicio de Salud Metropolitano Sur,13402,Buin,84429
2025,13,Servicio de Salud Metropolitano Sur,13403,Calera de Tango,17408
2025,13,Servicio de Salud Metropolitano Sur,13404,Paine,64040
2025,14,Servicio de Salud Metropolitano Sur Oriente,13110,La Florida,316265
2025,14,Servicio de Salud Metropolitano Sur Oriente,13111,La Granja,114254
2025,14,Servicio de Salud Metropolitano Sur Oriente,13112,La Pintana,134197
2025,14,Servicio de Salud Metropolitano Sur Oriente,13131,San Ramón,71044
2025,14,Servicio de Salud Metropolitano Sur Oriente,13201,Puente Alto,376225
2025,14,Servicio de Salud Metropolitano Sur Oriente,13202,Pirque,22252
2025,14,Servicio de Salud Metropolitano Sur Oriente,13203,San José de Maipo,10239
