Ano,IdServicio,servicio_salud,IdComuna,comuna,IdEstablecimiento,establecimiento,tipo_establecimiento,dependencia,nivel_atencion,estado_funcionamiento,es_aps,numerador,rem_reporta,denominador,denominador_directo,indicador_id,nombre_indicador,grupo_indicador,unidad,estado_calculo,metodo_calculo
2024,09,Servicio de Salud Metropolitano Norte,13108,Independencia,109321,Centro de Salud Familiar Juan Antonio Ríos,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,3057.0,True,5986.44,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13108,Independencia,200554,Centro Comunitario de Salud Familiar Las Enredaderas,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Primario,Vigente en Operación Habitual,True,856.0,True,53.268,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13125,Quilicura,109313,Centro de Salud Familiar Irene Frei de Cid,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,4928.0,True,9321.624,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13125,Quilicura,109315,Centro de Salud Familiar Manuel Bustos Huerta,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,4806.0,True,9783.372,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13125,Quilicura,109324,Centro de Salud Familiar Presidente Salvador Allende Gossens,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,4335.0,True,11816.664,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13125,Quilicura,109713,Centro Comunitario de Salud Familiar La Foresta,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Primario,Vigente en Operación Habitual,True,542.0,True,517.224,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13125,Quilicura,109715,Centro Comunitario de Salud Familiar Pucara de Lasana,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Primario,Vigente en Operación Habitual,True,187.0,True,694.416,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13125,Quilicura,200304,Centro Comunitario de Salud Familiar Beato Padre Hurtado,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Primario,Vigente en Operación Habitual,True,555.0,True,332.028,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13125,Quilicura,201091,Centro de Salud Familiar Marta Ugarte Román,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,5995.0,True,3492.78,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13127,Recoleta,109301,Centro de Salud Familiar Recoleta,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,4376.0,True,9203.772,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13127,Recoleta,109303,Centro de Salud Familiar Quinta Bella,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,4645.0,True,7005.432,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13127,Recoleta,109304,Centro de Salud Familiar Valdivieso,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,1528.0,True,2382.156,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13127,Recoleta,109307,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,3596.0,True,5671.524,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13127,Recoleta,109390,Centro de Salud Familiar Cristo Vive (ONG),Centro de Salud Familiar (CESFAM),Otra Institución,Primario,Vigente en Operación Habitual,True,3924.0,True,5702.16,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13301,Colina,109310,Centro de Salud Familiar Colina,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,4718.0,True,14237.184,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13301,Colina,109316,Centro de Salud Familiar Esmeralda,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,3285.0,True,11960.736,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13301,Colina,109416,Posta de Salud Rural Colorado,Posta de Salud Rural (PSR),Municipal,Primario,Vigente en Operación Habitual,True,167.0,True,6.072,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13301,Colina,109417,Posta de Salud Rural Los Ingleses,Posta de Salud Rural (PSR),Municipal,Primario,Vigente en Operación Habitual,True,253.0,True,13.8,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13301,Colina,109418,Posta de Salud Rural Las Canteras,Posta de Salud Rural (PSR),Municipal,Primario,Vigente en Operación Habitual,True,252.0,True,17.112,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13301,Colina,109419,Posta de Salud Rural Santa Marta de Liray,Posta de Salud Rural (PSR),Municipal,Primario,Vigente en Operación Habitual,True,354.0,True,16.008,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13301,Colina,109420,Posta de Salud Rural Chacabuco (Colina),Posta de Salud Rural (PSR),Municipal,Primario,Vigente en Operación Habitual,True,191.0,True,10.764,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13301,Colina,109716,Centro Comunitario de Salud Familiar Esmeralda,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Primario,Vigente en Operación Habitual,True,267.0,True,228.252,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13301,Colina,201462,CESFAM La Reina de Colina,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,1856.0,True,0.0,False,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13302,Lampa,109311,Centro de Salud Familiar José Bauza Frau,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,3314.0,True,9244.068,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13302,Lampa,109312,Centro de Salud Familiar Batuco,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,1680.0,True,3381.828,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13302,Lampa,109407,Posta de Salud Rural Juan Pablo II de Lampa,Posta de Salud Rural (PSR),Municipal,Primario,Cerrado,True,0.0,False,1988.58,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13302,Lampa,109711,Centro Comunitario de Salud Familiar Sol de Septiembre,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Primario,Vigente en Operación Habitual,True,623.0,True,1073.088,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13302,Lampa,109712,Centro Comunitario de Salud Familiar Batuco,Centro Comunitario de Salud Familiar (CECOSF),Municipal,Primario,Vigente en Operación Habitual,True,763.0,True,1396.836,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13302,Lampa,201212,Centro de Salud Familiar Juan Pablo II de Lampa,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,1310.0,True,0.0,False,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13303,Tiltil,109104,Hospital de Til Til,Hospital,Servicio de Salud,,Vigente en Operación Habitual,False,852.0,True,0.0,False,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13303,Tiltil,109320,Centro de Salud Familiar Huertos Familiares,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,937.0,True,2752.548,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13303,Tiltil,109410,Posta de Salud Rural La Capilla de Caleu,Posta de Salud Rural (PSR),Municipal,Primario,Vigente en Operación Habitual,True,122.0,True,103.5,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13303,Tiltil,109412,Posta de Salud Rural Montenegro,Posta de Salud Rural (PSR),Municipal,Primario,Vigente en Operación Habitual,True,92.0,True,110.952,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13303,Tiltil,109413,Posta de Salud Rural Rungue,Posta de Salud Rural (PSR),Municipal,Primario,Vigente en Operación Habitual,True,118.0,True,107.364,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,09,Servicio de Salud Metropolitano Norte,13303,Tiltil,109414,Posta de Salud Rural Polpaico,Posta de Salud Rural (PSR),Municipal,Primario,Vigente en Operación Habitual,True,225.0,True,359.904,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,10,Servicio de Salud Metropolitano Occidente,13101,Santiago,110100,"Hospital San Juan de Dios (Santiago, Santiago)",Hospital,Servicio de Salud,Terciario,Vigente en Operación Habitual,False,175.0,True,0.0,False,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,110120,Hospital  Félix Bulnes Cerda,Hospital,Servicio de Salud,Terciario,Vigente en Operación Habitual,False,1661.0,True,0.0,False,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,110330,Centro de Salud Familiar Dr. Adalberto Steeger,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,4257.0,True,8864.292,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
2024,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,110331,Centro de Salud Familiar Lo Amor,Centro de Salud Familiar (CESFAM),Municipal,Primario,Vigente en Operación Habitual,True,2742.0,True,5006.64,True,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
