AnoIndicador,AnoInscritos,BasePago,IdEstablecimiento,IdEstablecimiento_denominador_original,servicio_salud_denominador,dependencia_denominador,comuna_denominador,establecimiento_denominador,poblacion_inscrita_validada_15_mas,poblacion_inscrita_validada_15_mas_hombres,poblacion_inscrita_validada_15_mas_mujeres,poblacion_estimada_hta_15_mas,poblacion_estimada_dm2_15_mas,EstablecimientoCodigoAntiguo_master,EstablecimientoCodigo_master,codigo_madre_master,RegionCodigo_master,RegionGlosa_master,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,nivel_atencion_master,IdComuna_master,comuna_master,estado_funcionamiento_master,es_aps,sin_match_master
2023,2022,2023,109315,109315,Servicio de Salud Metropolitano Norte,Municipal,Quilicura,Centro de Salud Familiar  Manuel Bustos de Quilicura,35411,15694,19716,9773.436,4355.553,09-315,109315,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Manuel Bustos Huerta,Municipal,Primario,13125,Quilicura,Vigente en Operación Habitual,True,False
2023,2022,2023,109316,109316,Servicio de Salud Metropolitano Norte,Municipal,Colina,Centro de Salud Familiar Esmeralda,39884,18996,20887,11007.984,4905.732,09-316,109316,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Esmeralda,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
2023,2022,2023,109317,109317,Servicio de Salud Metropolitano Norte,Municipal,Huechuraba,Centro de Salud Familiar El Barrero,10583,5198,5385,2920.908,1301.709,09-317,109317,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar El Barrero,Municipal,Primario,13107,Huechuraba,Vigente en Operación Habitual,True,False
2023,2022,2023,109320,109320,Servicio de Salud Metropolitano Norte,Municipal,Tiltil,Centro de Salud Familiar Huertos Familiares,9629,4711,4918,2657.604,1184.367,09-320,109320,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Huertos Familiares,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,2022,2023,109321,109321,Servicio de Salud Metropolitano Norte,Municipal,Independencia,Centro de Salud Familiar Juan Antonio Ríos,20120,8213,11905,5553.12,2474.76,09-321,109321,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Juan Antonio Ríos,Municipal,Primario,13108,Independencia,Vigente en Operación Habitual,True,False
2023,2022,2023,109323,109323,Servicio de Salud Metropolitano Norte,Municipal,Huechuraba,Centro de Salud Familiar Dr. Salvador Allende Gossens (Huechuraba),15591,7533,8058,4303.116,1917.693,09-323,109323,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Salvador Allende Gossens,Municipal,Primario,13107,Huechuraba,Vigente en Operación Habitual,True,False
2023,2022,2023,109324,109324,Servicio de Salud Metropolitano Norte,Municipal,Quilicura,Centro de Salud Familiar Presidente Salvador Allende Gossens (Quilicura),42371,18324,24045,11694.396,5211.633,09-324,109324,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Presidente Salvador Allende Gossens,Municipal,Primario,13125,Quilicura,Vigente en Operación Habitual,True,False
2023,2022,2023,109390,109390,Servicio de Salud Metropolitano Norte,ONG,Recoleta,Centro de Salud Familiar Cristo Vive (ONG),19980,8848,11132,5514.48,2457.54,09-390,109390,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Cristo Vive (ONG),Otra Institución,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,2022,2023,109407,109407,Servicio de Salud Metropolitano Norte,Municipal,Lampa,Posta de Salud Rural Juan Pablo II de Lampa,6320,2974,3346,1744.32,777.36,09-407,109407,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Juan Pablo II de Lampa,Municipal,Primario,13302,Lampa,Cerrado,True,False
2023,2022,2023,109410,109410,Servicio de Salud Metropolitano Norte,Municipal,Tiltil,Posta de Salud Rural La Capilla de Caleu,315,163,152,86.94,38.745,09-410,109410,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural La Capilla de Caleu,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,2022,2023,109412,109412,Servicio de Salud Metropolitano Norte,Municipal,Tiltil,Posta de Salud Rural Montenegro,349,146,203,96.324,42.927,09-412,109412,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Montenegro,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,2022,2023,109413,109413,Servicio de Salud Metropolitano Norte,Municipal,Tiltil,Posta de Salud Rural Rungue,296,130,166,81.696,36.408,09-413,109413,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Rungue,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
2023,2022,2023,109414,109414,Servicio de Salud Metropolitano Norte,Municipal,Tiltil,Posta de Salud Rural Polpaico,1078,498,580,297.528,132.594,09-414,109414,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Posta de Salud Rural (PSR),Posta de Salud Rural Polpaico,Municipal,Primario,13303,Tiltil,Vigente en Operación Habitual,True,False
