rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,codigo_columna,columna_excel,columna_indice_excel,columna_detalle,columna_categoria,columna_subcategoria,columna_sub_subcategoria,columna_nivel_4,columna_nivel_5,columna_niveles,fila_excel
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL18,U,21,RANGO ETARIO Y SEXO - 50 a 54 años - Hombres,RANGO ETARIO Y SEXO,50 a 54 años,Hombres,,,"['RANGO ETARIO Y SEXO', '50 a 54 años', 'Hombres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL19,V,22,RANGO ETARIO Y SEXO - 50 a 54 años - Mujeres,RANGO ETARIO Y SEXO,50 a 54 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '50 a 54 años', 'Mujeres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL20,W,23,RANGO ETARIO Y SEXO - 55 a 59 años - Hombres,RANGO ETARIO Y SEXO,55 a 59 años,Hombres,,,"['RANGO ETARIO Y SEXO', '55 a 59 años', 'Hombres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL21,X,24,RANGO ETARIO Y SEXO - 55 a 59 años - Mujeres,RANGO ETARIO Y SEXO,55 a 59 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '55 a 59 años', 'Mujeres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL22,Y,25,RANGO ETARIO Y SEXO - 60 a 64 años - Hombres,RANGO ETARIO Y SEXO,60 a 64 años,Hombres,,,"['RANGO ETARIO Y SEXO', '60 a 64 años', 'Hombres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL23,Z,26,RANGO ETARIO Y SEXO - 60 a 64 años - Mujeres,RANGO ETARIO Y SEXO,60 a 64 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '60 a 64 años', 'Mujeres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL24,AA,27,RANGO ETARIO Y SEXO - 65 a 69 años - Hombres,RANGO ETARIO Y SEXO,65 a 69 años,Hombres,,,"['RANGO ETARIO Y SEXO', '65 a 69 años', 'Hombres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL25,AB,28,RANGO ETARIO Y SEXO - 65 a 69 años - Mujeres,RANGO ETARIO Y SEXO,65 a 69 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '65 a 69 años', 'Mujeres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL26,AC,29,RANGO ETARIO Y SEXO - 70 a 74 años - Hombres,RANGO ETARIO Y SEXO,70 a 74 años,Hombres,,,"['RANGO ETARIO Y SEXO', '70 a 74 años', 'Hombres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL27,AD,30,RANGO ETARIO Y SEXO - 70 a 74 años - Mujeres,RANGO ETARIO Y SEXO,70 a 74 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '70 a 74 años', 'Mujeres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL28,AE,31,RANGO ETARIO Y SEXO - 75 a 79 años - Hombres,RANGO ETARIO Y SEXO,75 a 79 años,Hombres,,,"['RANGO ETARIO Y SEXO', '75 a 79 años', 'Hombres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL29,AF,32,RANGO ETARIO Y SEXO - 75 a 79 años - Mujeres,RANGO ETARIO Y SEXO,75 a 79 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '75 a 79 años', 'Mujeres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL30,AG,33,RANGO ETARIO Y SEXO - 80 y más años - Hombres,RANGO ETARIO Y SEXO,80 y más años,Hombres,,,"['RANGO ETARIO Y SEXO', '80 y más años', 'Hombres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL31,AH,34,RANGO ETARIO Y SEXO - 80 y más años - Mujeres,RANGO ETARIO Y SEXO,80 y más años,Mujeres,,,"['RANGO ETARIO Y SEXO', '80 y más años', 'Mujeres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL32,AI,35,Pueblos Originarios - Hombres,Pueblos Originarios,Hombres,,,,"['Pueblos Originarios', 'Hombres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL33,AJ,36,Pueblos Originarios - Mujeres,Pueblos Originarios,Mujeres,,,,"['Pueblos Originarios', 'Mujeres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL34,AK,37,Migrantes - Hombres,Migrantes,Hombres,,,,"['Migrantes', 'Hombres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,COL35,AL,38,Migrantes - Mujeres,Migrantes,Mujeres,,,,"['Migrantes', 'Mujeres']",16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL01,D,4,TOTAL - Ambos sexos,TOTAL,Ambos sexos,,,,"['TOTAL', 'Ambos sexos']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL02,E,5,TOTAL - Hombres,TOTAL,Hombres,,,,"['TOTAL', 'Hombres']",17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,COL03,F,6,TOTAL - Mujeres,TOTAL,Mujeres,,,,"['TOTAL', 'Mujeres']",17
