Ano,indicador_id,nombre_indicador,grupo_indicador,unidad,estado_calculo,metodo_calculo,numerador,denominador,establecimientos_reportantes,establecimientos_con_denominador,nivel,calculable,valor,IdServicio,servicio_salud,IdComuna,comuna,IdEstablecimiento,establecimiento,tipo_establecimiento,dependencia,nivel_atencion,estado_funcionamiento,es_aps,valor_orden
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",14149.0,22383.324,6,6,comuna,True,63.21223782490929,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,,,,,,,,63.21223782490929
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",12608.0,31408.8,4,4,comuna,True,40.14161636229337,10,Servicio de Salud Metropolitano Occidente,13128,Renca,,,,,,,,40.14161636229337
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",16007.0,26995.284,12,11,comuna,True,59.295542139878954,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,,,,,,,,59.295542139878954
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",1498.0,1789.308,4,5,comuna,True,83.71951614814219,10,Servicio de Salud Metropolitano Occidente,13502,Alhué,,,,,,,,83.71951614814219
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",3716.0,583.464,3,2,comuna,True,636.8859089849587,10,Servicio de Salud Metropolitano Occidente,13503,Curacaví,,,,,,,,636.8859089849587
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",2184.0,3562.608,4,4,comuna,True,61.30340469678393,10,Servicio de Salud Metropolitano Occidente,13504,Maria Pinto,,,,,,,,61.30340469678393
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",1532.0,3082.3680000000004,5,5,comuna,True,49.702047257173696,10,Servicio de Salud Metropolitano Occidente,13505,San Pedro,,,,,,,,49.702047257173696
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",10647.0,13340.736,4,3,comuna,True,79.80819049263849,10,Servicio de Salud Metropolitano Occidente,13601,Talagante,,,,,,,,79.80819049263849
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",4142.0,7567.092,2,2,comuna,True,54.73701125875039,10,Servicio de Salud Metropolitano Occidente,13602,El Monte,,,,,,,,54.73701125875039
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",4870.0,7843.092000000001,7,7,comuna,True,62.09285827579225,10,Servicio de Salud Metropolitano Occidente,13603,Isla de Maipo,,,,,,,,62.09285827579225
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",7138.0,12053.748,1,1,comuna,True,59.21809548366201,10,Servicio de Salud Metropolitano Occidente,13604,Padre Hurtado,,,,,,,,59.21809548366201
